,url,count
1774,github.com,25064
5467,www.securityfocus.com,20645
5471,www.securitytracker.com,10842
65,access.redhat.com,8627
3549,support.apple.com,8069
2417,lists.opensuse.org,7930
2394,lists.fedoraproject.org,7212
5203,www.oracle.com,7006
2378,lists.apache.org,6294
4432,www.debian.org,5614
3304,security.gentoo.org,5289
3923,usn.ubuntu.com,5225
2389,lists.debian.org,4921
2977,portal.msrc.microsoft.com,4391
5196,www.openwall.com,4136
2868,packetstormsecurity.com,4068
3451,source.android.com,3672
3270,seclists.org,3462
4567,www.exploit-db.com,3412
3811,tools.cisco.com,3019
3313,security.netapp.com,2890
4758,www.ibm.com,2807
1466,exchange.xforce.ibmcloud.com,2673
1937,helpx.adobe.com,2643
5893,www.zerodayinitiative.com,2547
715,bugzilla.redhat.com,2482
3164,rhn.redhat.com,2019
5048,www.mozilla.org,1785
971,crbug.com,1458
5726,www.ubuntu.com,1397
2186,jvn.jp,1363
796,chromereleases.googleblog.com,1280
709,bugzilla.mozilla.org,1075
2004,ics-cert.us-cert.gov,1072
767,cert-portal.siemens.com,1062
5337,www.qualcomm.com,1048
4069,wordpress.org,1004
1778,gitlab.com,987
3582,support.f5.com,932
4749,www.huawei.com,913
2216,kb.netgear.com,891
5644,www.tenable.com,824
3592,support.hpe.com,816
1729,git.kernel.org,799
1875,hackerone.com,796
3717,talosintelligence.com,794
4085,wpscan.com,791
4811,www.intel.com,771
2379,lists.apple.com,735
2117,jenkins.io,717
4615,www.foxitsoftware.com,713
2308,launchpad.support.sap.com,683
3429,snyk.io,659
1238,docs.microsoft.com,655
3911,us-cert.cisa.gov,620
3320,security.samsungmobile.com,619
4087,wpvulndb.com,606
4039,wiki.scn.sap.com,603
4096,www-01.ibm.com,581
1701,gist.github.com,556
5622,www.talosintelligence.com,537
63,about.gitlab.com,509
2214,kb.juniper.net,502
4881,www.kb.cert.org,496
3460,sourceforge.net,495
2567,medium.com,443
1858,h20566.www2.hpe.com,422
2223,kc.mcafee.com,413
2746,nodesecurity.io,410
2767,nvidia.custhelp.com,408
649,bugs.chromium.org,401
5741,www.us-cert.gov,371
2130,jira.atlassian.com,354
5984,zerodayinitiative.com,352
587,blogs.gentoo.org,350
127,android.googlesource.com,342
1304,documentation.cpanel.net,341
3462,sourceware.org,335
1547,fortiguard.com,330
3205,rustsec.org,325
3452,source.codeaurora.org,324
3601,support.lenovo.com,317
4436,www.dell.com,315
3531,success.trendmicro.com,315
651,bugs.debian.org,313
427,blog.jetbrains.com,304
5843,www.wordfence.com,303
5785,www.vmware.com,288
4975,www.manageengine.com,286
754,cdn.kernel.org,279
717,bugzilla.suse.com,276
2962,plugins.trac.wordpress.org,276
4349,www.codeaurora.org,274
5612,www.synology.com,274
3872,twitter.com,268
5835,www.wireshark.org,257
675,bugs.launchpad.net,256
1839,groups.google.com,253
835,code.wireshark.org,238
144,antoniocannito.it,238
2398,lists.gnu.org,237
698,bugs.wireshark.org,231
4202,www.arubanetworks.com,231
5717,www.twcert.org.tw,230
5926,xenbits.xen.org,228
4910,www.kryptowire.com,219
3086,raw.githubusercontent.com,211
3568,support.citrix.com,208
5669,www.tibco.com,204
686,bugs.php.net,198
3318,security.paloaltonetworks.com,188
2831,openwall.com,186
3295,security.FreeBSD.org,184
1122,device.harmonyos.com,183
5426,www.schneider-electric.com,183
1981,huntr.dev,183
5880,www.youtube.com,182
4851,www.jenkins.io,180
4373,www.coresecurity.com,178
2187,jvndb.jvn.jp,175
773,cert.vde.com,174
934,consumer.huawei.com,174
2547,mattermost.com,168
5335,www.qnap.com,164
4208,www.asus.com,160
4887,www.kernel.org,156
5128,www.npmjs.com,156
1817,googlechromereleases.blogspot.com,156
844,codereview.chromium.org,152
2219,kb.pulsesecure.net,148
663,bugs.ghostscript.com,147
2491,magento.com,146
1720,git.ghostscript.com,144
2707,news.cpanel.com,143
5432,www.se.com,139
952,corp.mediatek.com,137
1363,drive.google.com,133
2935,php.net,129
2885,pastebin.com,129
1116,developer.joomla.org,128
2932,phabricator.wikimedia.org,127
3130,research.checkpoint.com,126
2948,pivotal.io,126
2528,mariadb.com,119
3025,psirt.global.sonicwall.com,118
3293,security-tracker.debian.org,116
4971,www.mail-archive.com,116
515,blog.securityevaluators.com,116
3440,softwaresupport.softwaregrp.com,115
1781,gitlab.gnome.org,115
1014,cxsecurity.com,115
5024,www.mitel.com,109
2943,pierrekim.github.io,106
5753,www.vapidlabs.com,106
4337,www.cloudfoundry.org,106
5273,www.phpmyadmin.net,106
5574,www.squid-cache.org,105
4047,wiki.zimbra.com,104
5791,www.vulnerability-lab.com,104
3260,search.abb.com,104
5615,www.syss.de,104
2633,moodle.org,103
2718,nextcloud.com,101
5824,www.whitesourcesoftware.com,98
2524,marc.info,97
1344,download.schneider-electric.com,96
4495,www.drupal.org,96
3873,typo3.org,96
4262,www.boho.or.kr,95
3658,support.zte.com.cn,93
3661,supportannouncement.us.dlink.com,92
5628,www.tcpdump.org,91
1441,erpscan.io,91
831,code.google.com,90
1682,gerrit.wikimedia.org,86
5072,www.nccgroup.trust,86
3574,support.cybozu.com,85
778,cgit.freedesktop.org,84
703,bugzilla.gnome.org,83
5476,www.seebug.org,83
1986,hyp3rlinx.altervista.org,83
654,bugs.eclipse.org,82
3644,support.symantec.com,81
593,blogs.sap.com,81
2210,kb.cybozu.support,81
2213,kb.isc.org,80
5561,www.sourcecodester.com,80
5706,www.trustwave.com,80
5606,www.symantec.com,79
5502,www.siemens.com,79
3276,secuniaresearch.flexerasoftware.com,79
1754,git.qemu.org,78
4241,www.bentley.com,78
2003,ics-cert.kaspersky.com,78
837,code610.blogspot.com,78
1780,gitlab.freedesktop.org,77
4270,www.broadcom.com,77
5352,www.rapid7.com,77
5416,www.samba.org,76
708,bugzilla.maptools.org,76
0,Other,29329
