,url,count
484,github.com,5199
1458,www.securityfocus.com,4922
24,access.redhat.com,3090
1460,www.securitytracker.com,2803
1062,usn.ubuntu.com,1979
647,lists.debian.org,1359
965,support.apple.com,1237
1382,www.oracle.com,1168
1238,www.exploit-db.com,1074
1202,www.debian.org,1035
883,seclists.org,837
645,lists.apache.org,833
897,security.gentoo.org,746
814,portal.msrc.microsoft.com,709
781,packetstormsecurity.com,690
660,lists.opensuse.org,672
405,exchange.xforce.ibmcloud.com,563
1281,www.ibm.com,511
1040,tools.cisco.com,482
535,helpx.adobe.com,479
898,security.netapp.com,438
649,lists.fedoraproject.org,422
556,ics-cert.us-cert.gov,407
212,bugzilla.redhat.com,386
1250,www.foxitsoftware.com,348
1346,www.mozilla.org,299
937,source.android.com,265
594,jvn.jp,248
286,crbug.com,229
236,chromereleases.googleblog.com,228
1598,zerodayinitiative.com,201
1573,www.zerodayinitiative.com,180
938,source.codeaurora.org,178
1181,www.codeaurora.org,178
1379,www.openwall.com,174
979,support.hpe.com,171
1021,talosintelligence.com,166
1103,wordpress.org,162
208,bugzilla.mozilla.org,161
1423,www.qualcomm.com,141
604,kb.netgear.com,140
580,jenkins.io,139
976,support.f5.com,136
629,launchpad.support.sap.com,133
1500,www.tenable.com,132
228,cert-portal.siemens.com,130
1289,www.intel.com,127
517,hackerone.com,124
1107,wpvulndb.com,122
467,git.kernel.org,117
0,Other,8802
